budget,imdb_id,popularity,release_date,startYear,revenue,runtime,title,status,New_status,Genre,Production_Company,Director,averageRating,numVotes
130000000.0,tt0983193,19.201504,2011-10-25,2011,371940071.0,107.0,The Adventures of Tintin,2.861077469230769,1.0,Adventure,Paramount Pictures,Steven Spielberg,7.3,205801
65000000.0,tt0443272,10.680330999999999,2012-11-09,2012,275293450.0,149.0,Lincoln,4.2352838461538465,1.0,History,DreamWorks,Steven Spielberg,7.3,232836
9000000.0,tt0107302,8.4337,1993-09-01,1993,2395231.0,117.0,Kalifornia,0.2661367777777778,0.0,Thriller,Propaganda Films,Dominic Sena,6.7,48580
90000000.0,tt0187078,14.091764999999999,2000-06-09,2000,237202299.0,118.0,Gone in Sixty Seconds,2.6355811,1.0,Action,Jerry Bruckheimer Films,Dominic Sena,6.5,249828
102000000.0,tt0244244,9.646208,2001-06-07,2001,147080413.0,99.0,Swordfish,1.4419648333333333,1.0,Action,Village Roadshow Pictures,Dominic Sena,6.5,170903
40000000.0,tt0365929,7.759722,2009-09-09,2009,12206028.0,101.0,Whiteout,0.3051507,0.0,Action,StudioCanal,Dominic Sena,5.5,36111
40000000.0,tt0479997,13.471159,2011-01-07,2011,88100000.0,95.0,Season of the Witch,2.2025,1.0,Adventure,Atlas Entertainment,Dominic Sena,5.4,87063
1500000.0,tt0110265,4.948569,1993-10-01,1993,418961.0,96.0,Killing Zoe,0.27930733333333335,0.0,Action,Live Entertainment,Roger Avary,6.5,19069
55000000.0,tt0116253,13.106291,1996-03-15,1996,121969216.0,133.0,Executive Decision,2.217622109090909,1.0,Action,Silver Pictures,Stuart Baird,6.4,47649
60000000.0,tt0120873,8.462363999999999,1998-03-06,1998,102367405.0,131.0,U.S. Marshals,1.7061234166666666,1.0,Thriller,Kopelson Entertainment,Stuart Baird,6.5,90760
60000000.0,tt0253754,11.367801,2002-12-13,2002,67312826.0,117.0,Star Trek: Nemesis,1.1218804333333334,1.0,Science Fiction,Paramount Pictures,Stuart Baird,6.4,69443
25000000.0,tt0107614,11.16553,1993-11-24,1993,441286195.0,125.0,Mrs. Doubtfire,17.6514478,1.0,Comedy,Twentieth Century Fox Film Corporation,Chris Columbus,7.0,227187
18000000.0,tt0099785,0.702543,1990-11-09,1990,476684675.0,103.0,Home Alone,26.482481944444444,1.0,Comedy,Twentieth Century Fox Film Corporation,Chris Columbus,7.6,416613
18000000.0,tt0104431,13.293722,1992-11-19,1992,358991681.0,120.0,Home Alone 2: Lost in New York,19.943982277777778,1.0,Comedy,Twentieth Century Fox Film Corporation,Chris Columbus,6.7,271404
100000000.0,tt0182789,9.369917999999998,1999-12-17,1999,93700000.0,131.0,Bicentennial Man,0.937,0.0,Comedy,Laurence Mark Productions,Chris Columbus,6.9,104422
125000000.0,tt0241527,38.187238,2001-11-16,2001,976475550.0,152.0,Harry Potter and the Philosopher's Stone,7.8118044,1.0,Adventure,1492 Pictures,Chris Columbus,7.6,585615
100000000.0,tt0295297,29.741452000000002,2002-11-13,2002,876688482.0,161.0,Harry Potter and the Chamber of Secrets,8.76688482,1.0,Adventure,1492 Pictures,Chris Columbus,7.4,507138
40000000.0,tt0294870,9.530278,2005-11-23,2005,31670620.0,135.0,Rent,0.7917655,0.0,Drama,Columbia Pictures,Chris Columbus,6.9,47184
95000000.0,tt0814255,9.785895,2010-02-01,2010,226497209.0,118.0,Percy Jackson & the Olympians: The Lightning Thief,2.384181147368421,1.0,Adventure,Ingenious Film Partners,Chris Columbus,5.9,168202
12000000.0,tt0110657,9.9697,1994-07-18,1994,15826984.0,107.0,The Next Karate Kid,1.3189153333333334,1.0,Adventure,Columbia Pictures Corporation,Christopher Cain,4.4,23664
13000000.0,tt0096487,9.905174,1988-08-12,1988,44726644.0,107.0,Young Guns,3.440511076923077,1.0,Crime,Twentieth Century Fox Film Corporation,Christopher Cain,6.9,51385
26000000.0,tt0107818,13.373006,1993-12-22,1993,206678440.0,125.0,Philadelphia,7.949170769230769,1.0,Drama,TriStar Pictures,Jonathan Demme,7.7,210650
19000000.0,tt0102926,4.307222,1991-02-01,1991,272742922.0,119.0,The Silence of the Lambs,14.354890631578947,1.0,Crime,Orion Pictures,Jonathan Demme,8.6,1171651
80000000.0,tt0368008,10.796939,2004-07-30,2004,96105964.0,129.0,The Manchurian Candidate,1.20132455,1.0,Drama,Paramount Pictures,Jonathan Demme,6.6,98714
7000000.0,tt0107822,7.436758,1993-05-19,1993,116700000.0,121.0,The Piano,16.67142857142857,1.0,Drama,New South Wales Film & Television Office,Jane Campion,7.6,74291
8500000.0,tt0810784,14.337354999999999,2009-11-05,2009,4440055.0,119.0,Bright Star,0.5223594117647059,0.0,Drama,BBC Films,Jane Campion,6.9,24315
11500000.0,tt0107943,12.222576,1993-11-05,1993,23237911.0,134.0,The Remains of the Day,2.0206879130434783,1.0,Drama,Columbia Pictures,James Ivory,7.8,59746
3000000.0,tt0091867,6.175166,1985-12-13,1985,20966644.0,117.0,A Room with a View,6.9888813333333335,1.0,Drama,Goldcrest Films International,James Ivory,7.3,36787
22000000.0,tt0107978,8.685798,1993-04-17,1993,10696210.0,104.0,RoboCop 3,0.4861913636363636,0.0,Action,Orion Pictures,Fred Dekker,4.1,43475
12000000.0,tt0093560,7.075533999999999,1987-08-14,1987,3769990.0,82.0,The Monster Squad,0.3141658333333333,0.0,Horror,TriStar Pictures,Fred Dekker,7.1,25903
20000000.0,tt0107977,17.136672,1993-07-28,1993,35739755.0,104.0,Robin Hood: Men in Tights,1.78698775,1.0,Comedy,Gaumont,Mel Brooks,6.7,109742
2800000.0,tt0072431,9.339316,1974-12-15,1974,86273333.0,106.0,Young Frankenstein,30.811904642857144,1.0,Comedy,Twentieth Century Fox Film Corporation,Mel Brooks,8.0,135755
11000000.0,tt0082517,9.270491999999999,1981-06-12,1981,31672907.0,92.0,History of the World: Part I,2.8793551818181817,1.0,Comedy,Twentieth Century Fox Film Corporation,Mel Brooks,6.9,43528
22700000.0,tt0094012,9.10373,1987-06-24,1987,38119483.0,96.0,Spaceballs,1.6792723788546255,1.0,Comedy,Brooksfilms Ltd.,Mel Brooks,7.1,162077
2600000.0,tt0071230,13.233262,1974-02-07,1974,119500000.0,93.0,Blazing Saddles,45.96153846153846,1.0,Western,Crossbow Productions,Mel Brooks,7.7,118442
12000000.0,tt0108002,5.914833,1993-09-17,1993,22750363.0,114.0,Rudy,1.8958635833333333,1.0,Drama,TriStar Pictures,David Anspaugh,7.5,51817
9000000.0,tt0091217,6.484495,1986-11-14,1986,28607524.0,114.0,Hoosiers,3.1786137777777776,1.0,Drama,Orion Pictures,David Anspaugh,7.5,40501
13000000.0,tt0111127,5.305311,1994-04-13,1994,7820688.0,95.0,Serial Mom,0.6015913846153846,0.0,Comedy,Savoy Pictures,John Waters,6.7,25335
11000000.0,tt0099329,8.290384,1990-04-05,1990,8266343.0,85.0,Cry-Baby,0.7514857272727272,0.0,Comedy,Imagine Entertainment,John Waters,6.5,51732
25000000.0,tt0111143,7.881107000000001,1994-07-01,1994,48063435.0,108.0,The Shadow,1.9225374,1.0,Adventure,Universal Pictures,Russell Mulcahy,6.1,22045
16000000.0,tt0091203,16.870392000000002,1986-03-07,1986,5900000.0,116.0,Highlander,0.36875,0.0,Adventure,Davis-Panzer Productions,Russell Mulcahy,7.1,115161
30000000.0,tt0102034,8.032638,1991-01-30,1991,15556340.0,91.0,Highlander II: The Quickening,0.5185446666666667,0.0,Action,Lamb Bear Entertainment,Russell Mulcahy,4.3,41818
45000000.0,tt0432021,3.009134,2007-09-20,2007,148412065.0,94.0,Resident Evil: Extinction,3.298045888888889,1.0,Horror,Impact Pictures,Russell Mulcahy,6.3,175927
21000000.0,tt0108160,10.234919,1993-06-24,1993,227799884.0,105.0,Sleepless in Seattle,10.847613523809525,1.0,Comedy,TriStar Pictures,Nora Ephron,6.8,148448
65000000.0,tt0128853,10.237996,1998-12-17,1998,250821495.0,119.0,You've Got Mail,3.8587922307692306,1.0,Comedy,Warner Bros.,Nora Ephron,6.6,181379
85000000.0,tt0374536,9.276085,2005-06-21,2005,131426169.0,102.0,Bewitched,1.5461902235294118,1.0,Comedy,Columbia Pictures Corporation,Nora Ephron,4.8,66263
28000000.0,tt0083658,96.272374,1982-06-25,1982,33139618.0,117.0,Blade Runner,1.1835577857142856,1.0,Science Fiction,Shaw Brothers,Ridley Scott,8.1,646017
11000000.0,tt0078748,23.37742,1979-05-25,1979,104931801.0,117.0,Alien,9.539254636363637,1.0,Horror,Twentieth Century Fox Film Corporation,Ridley Scott,8.4,734580
50000000.0,tt0119173,9.37934,1997-08-22,1997,48169156.0,125.0,G.I. Jane,0.96338312,0.0,Action,Caravan Pictures,Ridley Scott,5.9,69960
25000000.0,tt0089469,10.932786,1985-07-19,1985,15502112.0,94.0,Legend,0.62008448,0.0,Adventure,Universal Studios,Ridley Scott,6.5,56213
16000000.0,tt0103074,14.785388000000001,1991-05-24,1991,45361000.0,130.0,Thelma & Louise,2.8350625,1.0,Drama,Pathé Entertainment,Ridley Scott,7.5,125432
103000000.0,tt0172495,23.186667,2000-05-01,2000,457640427.0,155.0,Gladiator,4.443110941747573,1.0,Action,DreamWorks SKG,Ridley Scott,8.5,1248448
87000000.0,tt0212985,2.48875,2001-02-08,2001,351692268.0,131.0,Hannibal,4.042439862068965,1.0,Crime,Universal Pictures,Ridley Scott,6.8,241195
30000000.0,tt0096933,6.973408,1989-09-22,1989,45892212.0,125.0,Black Rain,1.5297404,1.0,Action,Paramount Pictures,Ridley Scott,6.7,46550
92000000.0,tt0265086,10.064446,2001-12-28,2001,172989651.0,144.0,Black Hawk Down,1.8803222934782609,1.0,Action,Jerry Bruckheimer Films,Ridley Scott,7.7,346249
62000000.0,tt0325805,5.539265,2003-09-01,2003,65565672.0,116.0,Matchstick Men,1.0575108387096774,1.0,Comedy,Saturn Films,Ridley Scott,7.3,119356
47000000.0,tt0103594,11.618792,1992-10-09,1992,7191399.0,154.0,1492: Conquest of Paradise,0.15300848936170214,0.0,Action,Paramount Pictures,Ridley Scott,6.5,26626
130000000.0,tt0320661,16.296471,2005-05-03,2005,211643158.0,144.0,Kingdom of Heaven,1.6280242923076924,1.0,Drama,Studio Babelsberg,Ridley Scott,7.2,254518
35000000.0,tt0401445,7.82187,2006-09-09,2006,42064105.0,118.0,A Good Year,1.2018315714285714,1.0,Comedy,Fox 2000 Pictures,Ridley Scott,7.0,83921
100000000.0,tt0765429,9.644542,2007-11-02,2007,266465037.0,157.0,American Gangster,2.66465037,1.0,Drama,Imagine Entertainment,Ridley Scott,7.8,373383
70000000.0,tt0758774,12.886125,2008-10-10,2008,113280098.0,128.0,Body of Lies,1.6182871142857143,1.0,Action,Scott Free Productions,Ridley Scott,7.1,203118
200000000.0,tt0955308,10.56812,2010-05-12,2010,310669540.0,140.0,Robin Hood,1.5533477,1.0,Action,Imagine Entertainment,Ridley Scott,6.6,243295
20000000.0,tt0108174,8.051914,1993-07-30,1993,11585483.0,93.0,So I Married an Axe Murderer,0.57927415,0.0,Comedy,TriStar Pictures,Thomas Schlamme,6.4,31649
18000000.0,tt0107688,17.730913,1993-10-09,1993,75634409.0,76.0,The Nightmare Before Christmas,4.201911611111111,1.0,Fantasy,Tim Burton Productions,Henry Selick,8.0,274909
38000000.0,tt0116683,13.217623000000001,1996-04-12,1996,28921264.0,79.0,James and the Giant Peach,0.7610858947368421,0.0,Adventure,Walt Disney Pictures,Henry Selick,6.7,57061
60000000.0,tt0327597,16.639915,2009-02-05,2009,124596398.0,100.0,Coraline,2.0766066333333333,1.0,Animation,Focus Features,Henry Selick,7.7,182659
30000000.0,tt0108333,6.34785,1993-11-11,1993,53898845.0,105.0,The Three Musketeers,1.7966281666666666,1.0,Action,Walt Disney Pictures,Stephen Herek,6.4,47655
54000000.0,tt0115433,11.470748,1996-11-17,1996,320689294.0,103.0,101 Dalmatians,5.93869062962963,1.0,Comedy,Walt Disney Pictures,Stephen Herek,5.7,94971
10000000.0,tt0104868,6.113646,1992-10-01,1992,50752337.0,101.0,The Mighty Ducks,5.0752337,1.0,Comedy,Walt Disney,Stephen Herek,6.5,54293
10000000.0,tt0101757,5.402262,1991-06-07,1991,25196249.0,105.0,Don't Tell Mom the Babysitter's Dead,2.5196249,1.0,Comedy,Mercury,Stephen Herek,6.2,25889
2000000.0,tt0090887,10.113807000000001,1986-04-11,1986,13167232.0,82.0,Critters,6.583616,1.0,Action,New Line Cinema,Stephen Herek,6.1,29295
10000000.0,tt0096928,15.109260999999998,1989-02-17,1989,40485039.0,90.0,Bill & Ted's Excellent Adventure,4.0485039,1.0,Adventure,Orion Pictures,Stephen Herek,6.9,103109
57000000.0,tt0202470,10.076222999999999,2001-09-04,2001,16991902.0,105.0,Rock Star,0.2981035438596491,0.0,Music,Bel Air Entertainment,Stephen Herek,6.3,39357
40000000.0,tt0282687,6.332398,2002-04-26,2002,16872671.0,103.0,Life or Something Like It,0.421816775,0.0,Comedy,Regency Enterprises,Stephen Herek,5.8,22225
22000000.0,tt0099348,11.654349,1990-11-09,1990,424208848.0,181.0,Dances with Wolves,19.282220363636362,1.0,Adventure,Tig Productions,Kevin Costner,8.0,225496
80000000.0,tt0119925,6.537407,1997-12-25,1997,17626234.0,177.0,The Postman,0.220327925,0.0,Drama,Tig Productions,Kevin Costner,6.1,65541
22000000.0,tt0316356,16.532577,2003-08-29,2003,68296293.0,139.0,Open Range,3.1043769545454545,1.0,Western,Tig Productions,Kevin Costner,7.4,63311
14000000.0,tt0100405,13.348451,1990-03-23,1990,463000000.0,119.0,Pretty Woman,33.07142857142857,1.0,Romance,Touchstone Pictures,Garry Marshall,7.0,267543
70000000.0,tt0163187,8.919469,1999-07-30,1999,309457509.0,116.0,Runaway Bride,4.420821557142857,1.0,Comedy,Paramount Pictures,Garry Marshall,5.5,88767
37000000.0,tt0247638,7.387171,2001-08-03,2001,165335153.0,115.0,The Princess Diaries,4.468517648648649,1.0,Comedy,Walt Disney Pictures,Garry Marshall,6.3,119214
50000000.0,tt0350028,12.448933,2004-05-27,2004,49718611.0,119.0,Raising Helen,0.99437222,0.0,Drama,Touchstone Pictures,Garry Marshall,6.0,34329
1880006.0,tt0093693,5.549621,1987-12-16,1987,26713187.0,106.0,Overboard,14.209096673095724,1.0,Comedy,Metro-Goldwyn-Mayer (MGM),Garry Marshall,6.9,48952
40000000.0,tt0368933,8.248895,2004-08-06,2004,95149435.0,113.0,The Princess Diaries 2: Royal Engagement,2.378735875,1.0,Comedy,Walt Disney Pictures,Garry Marshall,5.8,69379
52000000.0,tt0817230,7.466721000000001,2010-02-10,2010,216485654.0,125.0,Valentine's Day,4.163185653846154,1.0,Comedy,New Line Cinema,Garry Marshall,5.7,108569
6244087.0,tt0065214,11.722424,1969-06-17,1969,638641.0,145.0,The Wild Bunch,0.10227932442325034,0.0,Adventure,Warner Brothers/Seven Arts,Sam Peckinpah,7.9,73535
2200000.0,tt0067800,6.632663000000001,1971-12-29,1971,3251794.0,118.0,Straw Dogs,1.478088181818182,1.0,Crime,ABC Pictures,Sam Peckinpah,7.5,53207
